paper_id,question,true_label,predicted_label,true_answer,predicted_answer,model_name
1804.07931v2,What are the two auxiliary tasks that are used in the ESMM architecture for CVR modeling?,279,64,The two auxiliary tasks are CTR and CTCVR.,"Feedforward-MSE, LSTM-MSE, and Feedforward-MDN.",text_model_embed200_hidden100
1803.03467v4,Which dataset has the highest AUC for all ripple set sizes?,146,551,MovieLens-1M,GB-KMV,text_model_embed200_hidden100
1804.05938v2,"Explain the difference between the features ""TF-IDF"" and ""BM25"".",324,215,"Both TF-IDF and BM25 are features used to estimate the relevance of a document to a query. However, they differ in their underlying calculations.

TF-IDF: This feature represents the average product of term frequency (TF) and inverse document frequency (IDF) for each query term within different document sections (URL, title, content, and whole document). TF measures how often a term appears in a specific document section, while IDF measures how important that term is across the entire document collection.

BM25: This feature utilizes the BM25 ranking function, which is a probabilistic model that considers term frequency, document length, and average document length to estimate relevance. While it also considers term frequency like TF-IDF, it incorporates additional factors to improve the weighting scheme.",5 hops,text_model_embed200_hidden100
1805.01216v3,Which model performs best when the percentage of unseen entities in the response is low?,312,415,BoSsNet,ChoiceNet,text_model_embed200_hidden100
1701.06171v4,How many iterations did the greedy EM-type learning process take to learn the part models for the watch image?,119,353,22 iterations,The PP loss constrains the output sequence to be symmetric by reducing the L2 distance between corresponding frames in the forward and backward passes. This helps to reduce drifting artifacts and improve temporal coherence.,text_model_embed200_hidden100
1704.07121v2,"On the VQAv2-2017 validation set, which model performs best when considering all three sources of information (images, questions, and answers) and how does its performance compare to the model that only uses answers?",187,95,"The model that performs best on VQAv2-2017 val when considering all three sources of information is MLP-IQA. It achieves an accuracy of 61.1% on the \IU+\QU -decoys metric, significantly outperforming the model that only uses answers (MLP-A) which achieves only 27.7% on the same metric. This demonstrates the importance of incorporating all available information for accurate prediction.","PWC-Net (ft) achieved the best performance on the KITTI 2015 test set with an F1-all score of 9.16%. This is significantly better than Devon (ft), which achieved an F1-all score of 14.31% on the same dataset. ",text_model_embed200_hidden100
1809.03550v3,Why is the optimal threshold chosen to be at the right margin of the region around the mode of the histogram?,622,483,"The region around the mode of the histogram mostly contains noise. Therefore, the optimal threshold is chosen to be at the right margin of this region to avoid including too much noise in the thresholded image."," 

Increasing the value of β2 decreases the precision and increases the recall of the model.",text_model_embed200_hidden100
1707.00524v2,Which game has the highest code loss in phase 2?,486,308,Pacman,"The topic with the highest internal coherence value is ""turks armenian armenia turkish roads escape soviet muslim mountain soul"".",text_model_embed200_hidden100
1809.02731v3,Which model performed best on average across all tasks?,592,565,The Linear model performed best on average with a score of 70.0.,Intra-warrant attention with context.,text_model_embed200_hidden100
1706.00633v4,Which objective function resulted in a higher ratio of f2(x∗) > 0 for the MNIST dataset?,393,378,RCE,Cars are the most common object in the dataset.,text_model_embed200_hidden100
1809.00458v1,Which method is more efficient at utilizing space while maintaining high accuracy?,561,637,GB-KMV is more efficient at utilizing space while maintaining high accuracy.,VAGER + Voting,text_model_embed200_hidden100
1708.01425v4,Which step in the methodology resulted in the largest decrease in the size of the dataset?,567,60,"Step 4, Reason disambiguation.","The passage mentions that additional trajectories were generated for the ""Pick and Place"" task by reducing the frequency of the recorded demonstrations. This process was not applied to the ""Push to Pose"" task, therefore no ""Demonstrations after shift"" are listed for it.",text_model_embed200_hidden100
1804.05995v2,What are the top 5 section recommendations for the Wikipedia article on Lausanne according to the category-section counts method?,272,353,"The top 5 section recommendations for the Wikipedia article on Lausanne according to the category-section counts method are HISTORY, DEMOGRAPHICS, ECONOMY, EDUCATION, and POLITICS.",The PP loss constrains the output sequence to be symmetric by reducing the L2 distance between corresponding frames in the forward and backward passes. This helps to reduce drifting artifacts and improve temporal coherence.,text_model_embed200_hidden100
1803.03467v4,What is the role of the ripple sets in the RippleNet framework?,144,597,The ripple sets are used to propagate a user's preferences from his or her click history to his or her relevant entities.,The Higher Level Policy sets constraints for the next sub-trajectory and provides information about the previous stage to the Lower Level Policy.,text_model_embed200_hidden100
1803.04572v2,What are some common medications used to treat Sickle Cell Anemia?,149,198,"According to the table, some common medications used to treat Sickle Cell Anemia include:

Beta-adrenergic agents
Analgesics (narcotics and non-narcotics)
NSAIDs (cyclooxygenase inhibitor - type)
Potassium replacement
Sodium/saline preparations
General inhalation agents
Laxatives and cathartics
IV solutions (dextrose-saline)
Antiemetic/antivertigo agents
Sedative-hypnotics (non-barbiturate)
Glucocorticoids (orally inhaled)
Folic acid preparations
Analgesic narcotic anesthetic adjunct agents",The LIVR framework decomposes semantic features into different places by utilizing bitmaps encoded with the semantic labels of places. This decomposition encourages the network to learn features of generic place-based motion patterns that are independent of scene layouts.,text_model_embed200_hidden100
1809.00263v5,What is the value of the learning rate α for the BAIR dataset?,537,512,0.0002,The Leaky Unit helps to aggregate the context information from different sources and allows the model to learn the relationships between entities and their contexts.,text_model_embed200_hidden100
1803.02750v3,What is the difference between the `inc_i(p)` and `inc_i'(p)` operations in the Grow-only Counter data type?,114,363,"The `inc_i(p)` operation increments the value associated with the key `i` in the counter `p`, while the `inc_i'(p)` operation increments the value associated with the key `i` in the counter `p` only if the key `i` is not already present in the counter.",CDAN-fg,text_model_embed200_hidden100
1706.04269v2,What are the three main components of the Action Search model architecture?,453,378,"The three main components of the Action Search model architecture are the visual encoder, the LSTM, and the spotting target.",Cars are the most common object in the dataset.,text_model_embed200_hidden100
1706.00633v4,How does the accuracy of the model change as the value of c increases?,392,431,The accuracy of the model decreases as the value of c increases.,"The performance of the model generally improves as the number of views increases. For example, when the model is trained and tested on two-view data, the F1-score is 29.67. However, when the model is trained and tested on three-view data, the F1-score increases to 30.2. This suggests that the model is able to learn more effectively from data with more views.",text_model_embed200_hidden100
1812.00281v3,What are the different stages of HUMBI body and cloth reconstruction?,437,215,"The different stages of HUMBI body and cloth reconstruction are: 
1. Input image of the person (Ibody)
2. Keypoint estimation (Kbody)
3. Occupancy map generation (Obody)
4. Body model fitting (Mbody)
5. Cloth model fitting (Mcloth)",5 hops,text_model_embed200_hidden100
1706.00633v4,Which of the following algorithms performs the best when trained via the CE?,391,351,C&W-hc,DUF,text_model_embed200_hidden100
1705.09882v2,Which part of the model is responsible for deciding which frames are most important for the re-identification task?,330,415,The Reinforced Temporal Attention (RTA) unit.,ChoiceNet,text_model_embed200_hidden100
1706.03847v3,How does the training time of the different losses change as the number of additional samples increases?,450,236,The training time of all losses increases as the number of additional samples increases.,The landscape concentration increases with the number of state-action pairs.,text_model_embed200_hidden100
1611.02654v2,Which model performed the best on the SICK dataset according to the MSE metric?,33,549,The supervised model performed the best on the SICK dataset according to the MSE metric.,"The CoNLL model performed best on the WikiCoref dataset, with an F1 score of 53.40 when using the +linguistic evaluation metric.",text_model_embed200_hidden100
1811.08257v1,Which framework has the lowest total communication cost for MNIST?,292,542,FALCON,SDVI,text_model_embed200_hidden100
1611.03780v2,How is the Hilbert space-filling curve constructed?,17,355,"The Hilbert space-filling curve is constructed recursively. The curve starts with a simple square, and then at each subsequent iteration, the curve is subdivided into four smaller squares. The curve is then drawn through each of these squares in a specific order.",TecoGAN⊖.,text_model_embed200_hidden100
1707.00524v2,What is the difference between the encoder and decoder networks in the action-conditional prediction model?,488,605,The encoder network takes a one-hot action and the current state as input and outputs a latent representation of the state. The decoder network takes the latent representation and outputs a prediction of the next state.,The generalization gap increases as the average X_ref entropy increases.,text_model_embed200_hidden100
1804.07849v4,"According to the ablation experiments, which factor contributes the most to the best model's performance compared to the baseline model?",254,35,Morphological modeling with LSTMs contributes the most to the best model's performance compared to the baseline model.,"The proposed model in this paper achieves the best performance for the order discrimination task on the Accidents dataset with an accuracy of 0.944. It outperforms the other data-driven approaches, namely Window (Recurrent) with 0.840, Window (Recursive) with 0.864, and Seq2seq with 0.930.",text_model_embed200_hidden100
1811.09393v4,Which method has the best perceptual performance according to the tOF score?,349,256,TecoGAN.,Variational J^var (7),text_model_embed200_hidden100
1805.04687v2,"Why does the proposed dataset have a lower number of persons per image compared to the Cityscapes dataset, even though it has a much higher total number of pedestrians?",375,123,"The proposed dataset contains non-city scenes like highways, which typically have fewer pedestrians per image compared to cityscapes.","When the sample size is 2000, the two-phase framework (MSG) achieves lower discrimination in prediction compared to DI, both with and without classifier tweaking.

With classifier tweaking: MSG achieves a discrimination level of 0.016 ± 5.3E-4, while DI shows a significantly higher level of 0.095 ± 1.6E-3.
Without classifier tweaking: MSG still demonstrates lower discrimination with 0.067 ± 4.3E-3 compared to DI's 0.095 ± 1.6E-3.

This indicates that the two-phase framework is more effective in removing discrimination from predictions than DI, regardless of whether classifier tweaking is applied.",text_model_embed200_hidden100
1812.00281v3,"What is the difference between the ""median appearance"" and the ""view-specific appearance""?",442,193,"The median appearance is the average of all the multiview images, while the view-specific appearance is a single image that is rendered from a specific viewpoint.","The representation task takes an appearance as input and outputs an RGB value, while the learning-to-learn task takes an image as input and outputs a DAM representation.",text_model_embed200_hidden100
1805.08465v3,Which steganography method achieves the best performance in terms of distortion for both cover and secret images when embedding 2 bits per channel?,514,350,The proposed method achieves the best performance for both cover and secret images when embedding 2 bits per channel.,TecoGAN,text_model_embed200_hidden100
1811.02553v4,How does the number of state-action pairs affect the optimization landscape for the PPO algorithm?,234,226,"As the number of state-action pairs increases, the optimization landscape becomes more complex and has more local optima. This makes it more difficult for the PPO algorithm to find the global optimum.",The RL policy accesses fewer index blocks than the baseline.,text_model_embed200_hidden100
