paper_id,question,true_label,predicted_label,true_answer,predicted_answer,model_name
1804.07931v2,What are the two auxiliary tasks that are used in the ESMM architecture for CVR modeling?,279,538,The two auxiliary tasks are CTR and CTCVR.,All features have the same dimensionality in the first two dimensions.,text_model_embed300_hidden150
1803.03467v4,Which dataset has the highest AUC for all ripple set sizes?,146,451,MovieLens-1M,VIDXL has the highest Recall@20 and MRR@20.,text_model_embed300_hidden150
1804.05938v2,"Explain the difference between the features ""TF-IDF"" and ""BM25"".",324,319,"Both TF-IDF and BM25 are features used to estimate the relevance of a document to a query. However, they differ in their underlying calculations.

TF-IDF: This feature represents the average product of term frequency (TF) and inverse document frequency (IDF) for each query term within different document sections (URL, title, content, and whole document). TF measures how often a term appears in a specific document section, while IDF measures how important that term is across the entire document collection.

BM25: This feature utilizes the BM25 ranking function, which is a probabilistic model that considers term frequency, document length, and average document length to estimate relevance. While it also considers term frequency like TF-IDF, it incorporates additional factors to improve the weighting scheme."," 

The pre-processed SMD Navigate data combines all the properties (such as distance, address) of a point of interest (POI) into a single subject with the object being ""poi"". The original data had separate entries for each property. ",text_model_embed300_hidden150
1805.01216v3,Which model performs best when the percentage of unseen entities in the response is low?,312,552,BoSsNet,LSH-E,text_model_embed300_hidden150
1701.06171v4,How many iterations did the greedy EM-type learning process take to learn the part models for the watch image?,119,362,22 iterations,"The main difference is that the Multilinear Conditioning architecture uses a multilinear map to condition the domain discriminator on the classifier prediction, while the Randomized Multilinear Conditioning architecture uses a randomized multilinear map.",text_model_embed300_hidden150
1704.07121v2,"On the VQAv2-2017 validation set, which model performs best when considering all three sources of information (images, questions, and answers) and how does its performance compare to the model that only uses answers?",187,95,"The model that performs best on VQAv2-2017 val when considering all three sources of information is MLP-IQA. It achieves an accuracy of 61.1% on the \IU+\QU -decoys metric, significantly outperforming the model that only uses answers (MLP-A) which achieves only 27.7% on the same metric. This demonstrates the importance of incorporating all available information for accurate prediction.","PWC-Net (ft) achieved the best performance on the KITTI 2015 test set with an F1-all score of 9.16%. This is significantly better than Devon (ft), which achieved an F1-all score of 14.31% on the same dataset. ",text_model_embed300_hidden150
1809.03550v3,Why is the optimal threshold chosen to be at the right margin of the region around the mode of the histogram?,622,77,"The region around the mode of the histogram mostly contains noise. Therefore, the optimal threshold is chosen to be at the right margin of this region to avoid including too much noise in the thresholded image.","There is a negative correlation between the success rate of the non-overlapping attack and the number of words changed in the input sentence. In other words, the fewer words that are changed, the higher the success rate of the attack.",text_model_embed300_hidden150
1707.00524v2,Which game has the highest code loss in phase 2?,486,65,Pacman,MAP Policy,text_model_embed300_hidden150
1809.02731v3,Which model performed best on average across all tasks?,592,301,The Linear model performed best on average with a score of 70.0.,The Transfer + MTSA model performed best on the SNLI test set with an accuracy of 86.9%.,text_model_embed300_hidden150
1706.00633v4,Which objective function resulted in a higher ratio of f2(x∗) > 0 for the MNIST dataset?,393,388,RCE,ResNet-56 (RCE) performed better on the MNIST dataset with a classification error rate of 0.32% compared to ResNet-32 (CE) which had a classification error rate of 0.38%.,text_model_embed300_hidden150
1809.00458v1,Which method is more efficient at utilizing space while maintaining high accuracy?,561,153,GB-KMV is more efficient at utilizing space while maintaining high accuracy.,COPA is faster than Helwig.,text_model_embed300_hidden150
1708.01425v4,Which step in the methodology resulted in the largest decrease in the size of the dataset?,567,289,"Step 4, Reason disambiguation.","The shared weights allow the two branches of the network to learn similar representations of the input images. This helps to improve the performance of the Euclidean Confusion loss, which measures the distance between the conditional probability distributions of the two branches.",text_model_embed300_hidden150
1804.05995v2,What are the top 5 section recommendations for the Wikipedia article on Lausanne according to the category-section counts method?,272,51,"The top 5 section recommendations for the Wikipedia article on Lausanne according to the category-section counts method are HISTORY, DEMOGRAPHICS, ECONOMY, EDUCATION, and POLITICS.",The proposed method appears to be more accurate than the baseline method. The depth maps generated by the proposed method are more detailed and realistic than those generated by the baseline method.,text_model_embed300_hidden150
1803.03467v4,What is the role of the ripple sets in the RippleNet framework?,144,87,The ripple sets are used to propagate a user's preferences from his or her click history to his or her relevant entities.,"The residual connection allows the output of a layer to be added to the output of another layer, which helps to improve the flow of information through the network.",text_model_embed300_hidden150
1803.04572v2,What are some common medications used to treat Sickle Cell Anemia?,149,141,"According to the table, some common medications used to treat Sickle Cell Anemia include:

Beta-adrenergic agents
Analgesics (narcotics and non-narcotics)
NSAIDs (cyclooxygenase inhibitor - type)
Potassium replacement
Sodium/saline preparations
General inhalation agents
Laxatives and cathartics
IV solutions (dextrose-saline)
Antiemetic/antivertigo agents
Sedative-hypnotics (non-barbiturate)
Glucocorticoids (orally inhaled)
Folic acid preparations
Analgesic narcotic anesthetic adjunct agents",Bing-News.,text_model_embed300_hidden150
1809.00263v5,What is the value of the learning rate α for the BAIR dataset?,537,297,0.0002,"The filter is used to extract features from the input image. It is a small matrix that is applied to each pixel in the image, and the result is a new pixel value.",text_model_embed300_hidden150
1803.02750v3,What is the difference between the `inc_i(p)` and `inc_i'(p)` operations in the Grow-only Counter data type?,114,640,"The `inc_i(p)` operation increments the value associated with the key `i` in the counter `p`, while the `inc_i'(p)` operation increments the value associated with the key `i` in the counter `p` only if the key `i` is not already present in the counter.","The model is discouraged because it is trained using the Maximum Likelihood Estimation (MLE) objective, which prioritizes generating responses that are identical to the ground-truth (GT) response. Even though the RSP integrates relevant content from the candidates and seems appropriate in the context, it is penalized because it deviates from the exact wording of the GT.",text_model_embed300_hidden150
1706.04269v2,What are the three main components of the Action Search model architecture?,453,257,"The three main components of the Action Search model architecture are the visual encoder, the LSTM, and the spotting target.",The BiLSTM takes as input the character-level representations of the words and outputs a word-level representation for each word.,text_model_embed300_hidden150
1706.00633v4,How does the accuracy of the model change as the value of c increases?,392,431,The accuracy of the model decreases as the value of c increases.,"The performance of the model generally improves as the number of views increases. For example, when the model is trained and tested on two-view data, the F1-score is 29.67. However, when the model is trained and tested on three-view data, the F1-score increases to 30.2. This suggests that the model is able to learn more effectively from data with more views.",text_model_embed300_hidden150
1812.00281v3,What are the different stages of HUMBI body and cloth reconstruction?,437,359,"The different stages of HUMBI body and cloth reconstruction are: 
1. Input image of the person (Ibody)
2. Keypoint estimation (Kbody)
3. Occupancy map generation (Obody)
4. Body model fitting (Mbody)
5. Cloth model fitting (Mcloth)",The user study is designed to test which of two images is closer to a reference video.,text_model_embed300_hidden150
1706.00633v4,Which of the following algorithms performs the best when trained via the CE?,391,350,C&W-hc,TecoGAN,text_model_embed300_hidden150
1705.09882v2,Which part of the model is responsible for deciding which frames are most important for the re-identification task?,330,86,The Reinforced Temporal Attention (RTA) unit.,The Sent2Vec uni. + bi. model performed the best on the MSRP task for the Twitter dataset.,text_model_embed300_hidden150
1706.03847v3,How does the training time of the different losses change as the number of additional samples increases?,450,228,The training time of all losses increases as the number of additional samples increases.,The performance of the SIM saliency map increases as the number of fixations increases.,text_model_embed300_hidden150
1611.02654v2,Which model performed the best on the SICK dataset according to the MSE metric?,33,549,The supervised model performed the best on the SICK dataset according to the MSE metric.,"The CoNLL model performed best on the WikiCoref dataset, with an F1 score of 53.40 when using the +linguistic evaluation metric.",text_model_embed300_hidden150
1811.08257v1,Which framework has the lowest total communication cost for MNIST?,292,497,FALCON,A non-negative tensor is a tensor whose elements are all non-negative real numbers.,text_model_embed300_hidden150
1611.03780v2,How is the Hilbert space-filling curve constructed?,17,568,"The Hilbert space-filling curve is constructed recursively. The curve starts with a simple square, and then at each subsequent iteration, the curve is subdivided into four smaller squares. The curve is then drawn through each of these squares in a specific order.","The intra-warrant attention mechanism uses a BiLSTM to encode the reason and claim, and then provides this encoded information as an attention vector to LSTM layers for each warrant. The attention vector allows the model to focus on specific parts of the reason and claim that are most relevant to each warrant.",text_model_embed300_hidden150
