image_path,true_label,predicted_label,true_answer,predicted_answer,model_name
OverheatData/OverheatData\1901.00056v2\1901.00056v2-Figure2-1.png,511,247," The four steps involved in the synonym discovery process are: 

1. **Entity representation learning:** Learn entity representations from the corpus using WEMBED.
2. **NN search:** Perform a nearest neighbor search to find candidate entities for the query entity.
3. **Synonym score calculation:** Calculate the synonym score between the query entity and each candidate entity using SYNONYM NET.
4. **Synonym entity discovery:** Select the candidate entities with the highest synonym scores as the discovered synonym entities.",The perfect results received the largest promotions in rank.,resnet101
OverheatData/OverheatData\1709.08294v3\1709.08294v3-Table3-1.png,626,633,The two-way AdaQA model significantly outperforms the one-way AdaQA model and all other CNN-based baseline models on the WikiQA dataset. This is evident from the higher MAP and MRR values achieved by the two-way model (0.7107 and 0.7304 respectively) compared to the one-way model (0.7005 and 0.7161) and the baseline models.,"The AdaQA (two-way) + att. model achieves the best performance on the SelQA dataset with a MAP score of 0.9021 and an MRR score of 0.9103. Compared to the baseline CNN model from Jurczyk et al. (2016) which has a MAP score of 0.8320 and an MRR score of 0.8420, the AdaQA (two-way) + att. model demonstrates a significant improvement in both metrics.",resnet101
OverheatData/OverheatData\1803.01128v3\1803.01128v3-Table1-1.png,76,586,"Seq2Sick differs from existing attack methods in two key aspects:

1. Search Strategy: While previous methods primarily rely on greedy search, which becomes increasingly inefficient for longer sequences, Seq2Sick employs group lasso regularization and projected gradient descent with gradient regularization. This allows for simultaneous searching of all replacement positions, leading to improved efficiency.

2. Targeted Attack Type: Existing methods focus on targeting specific classes or binary classifications, while Seq2Sick introduces a novel ""keyword"" target type, allowing attacks to be directed towards specific keywords within the generated sequence.",The processing time of SRU is significantly faster than that of cuDNN LSTM and word-level convolution with filter widths k=2 and k=3.,resnet101
OverheatData/OverheatData\1708.03797v1\1708.03797v1-Figure1-1.png,583,132,The code layer is responsible for generating a compressed representation of the input data. This compressed representation is then used by the decoder to reconstruct the original data.,The BLEU score decreases as the initial accuracy of the discriminator increases.,resnet101
OverheatData/OverheatData\1704.07854v4\1704.07854v4-Figure15-1.png,218,81,The corrected gradient method leads to a more stable and lower loss value during training.,The noisy version q̂t at time t is equal to the true market state qt plus a sum of Laplace noise vectors obtained by following the arrows all the way back to 0.,resnet101
OverheatData/OverheatData\1704.08615v2\1704.08615v2-Figure6-1.png,231,349,The CC score increases as the number of fixations increases.,TecoGAN.,resnet101
OverheatData/OverheatData\1706.00633v4\1706.00633v4-Table3-1.png,393,139,RCE,The inputs to the image generation network are the observed images (x) and a random noise vector (z).,resnet101
OverheatData/OverheatData\1811.09393v4\1811.09393v4-Figure19-1.png,359,357,The user study is designed to test which of two images is closer to a reference video.,"Flow estimation becomes less accurate near image boundaries because there is less information available to estimate the flow. This is because the pixels at the boundaries are only surrounded by pixels on one side, whereas pixels in the interior of the image are surrounded by pixels on all sides.",resnet101
OverheatData/OverheatData\1809.03149v2\1809.03149v2-Figure2-1.png,597,67,The Higher Level Policy sets constraints for the next sub-trajectory and provides information about the previous stage to the Lower Level Policy.,ALOQ,resnet101
OverheatData/OverheatData\1809.02731v3\1809.02731v3-Table1-1.png,593,277,"The UMBC News corpus has more sentences, by approximately 60.5 million.",Explicitly modeling meaning-preserving invariances leads to the generation of better paraphrases.,resnet101
OverheatData/OverheatData\1811.08257v1\1811.08257v1-Figure1-1.png,296,67,The activation layer applies a non-linear function to the output of the convolution layer. This allows the network to learn more complex features from the data.,ALOQ,resnet101
OverheatData/OverheatData\1704.07854v4\1704.07854v4-Figure2-1.png,222,132,The parameter network is used to infer a weighting function.,The BLEU score decreases as the initial accuracy of the discriminator increases.,resnet101
OverheatData/OverheatData\1703.07015v3\1703.07015v3-Figure3-1.png,124,132,The Traffic dataset.,The BLEU score decreases as the initial accuracy of the discriminator increases.,resnet101
OverheatData/OverheatData\1804.00863v3\1804.00863v3-Figure1-1.png,189,239,The sphere in the re-synthesis using DAMs appears to have a more even and consistent surface texture than the reference image.,"The combination of Lrec, LI, and LV is most important for generating realistic mouth movements.",resnet101
OverheatData/OverheatData\1804.07931v2\1804.07931v2-Figure2-1.png,279,157,The two auxiliary tasks are CTR and CTCVR.,"SNLI performs better than MultiNLI when considering the percentage of individual labels that match the author's label. SNLI has a score of 85.8%, while MultiNLI has a score of 85.2%.",resnet101
OverheatData/OverheatData\1809.00263v5\1809.00263v5-Figure4-1.png,544,581,The residual connections add the output of the previous layer to the input of the next layer. This helps to improve the flow of information through the network and can help to prevent vanishing gradients.,The average precision of TCM(256*memory) is lower than the other two algorithms in the email-EuAll dataset.,resnet101
OverheatData/OverheatData\1708.01425v4\1708.01425v4-Table2-1.png,565,502,Intra-warrant attention with context.,The reconstruction error increases as the compression factor increases.,resnet101
OverheatData/OverheatData\1703.10730v2\1703.10730v2-Figure13-1.png,138,394,The input patches are used to generate the images. The generator network takes the input patches as input and generates new images that are similar to the input patches.,The CE method results in images that are visually more similar to the original images than the RCE method.,resnet101
OverheatData/OverheatData\1803.01128v3\1803.01128v3-Table4-1.png,78,498,The difficulty of performing a successful targeted keywords attack increases as the number of targeted keywords increases.,"OpenIE is used to extract tuples from the unlabeled text corpus. These tuples are then used to create the 3-mode tensors X1, X2, and X3.",resnet101
