image_path,true_label,predicted_label,true_answer,predicted_answer,model_name
OverheatData/OverheatData\1901.00056v2\1901.00056v2-Figure2-1.png,511,61," The four steps involved in the synonym discovery process are: 

1. **Entity representation learning:** Learn entity representations from the corpus using WEMBED.
2. **NN search:** Perform a nearest neighbor search to find candidate entities for the query entity.
3. **Synonym score calculation:** Calculate the synonym score between the query entity and each candidate entity using SYNONYM NET.
4. **Synonym entity discovery:** Select the candidate entities with the highest synonym scores as the discovered synonym entities."," The frequency reduction process takes a high-frequency trajectory and samples it at a lower frequency, resulting in multiple trajectories with different starting and ending points. ",resnet18
OverheatData/OverheatData\1709.08294v3\1709.08294v3-Table3-1.png,626,56,The two-way AdaQA model significantly outperforms the one-way AdaQA model and all other CNN-based baseline models on the WikiQA dataset. This is evident from the higher MAP and MRR values achieved by the two-way model (0.7107 and 0.7304 respectively) compared to the one-way model (0.7005 and 0.7161) and the baseline models.,The complexity of the cake shape generally leads to a higher minimum number of blanks required for a complete partition.,resnet18
OverheatData/OverheatData\1803.01128v3\1803.01128v3-Table1-1.png,76,129,"Seq2Sick differs from existing attack methods in two key aspects:

1. Search Strategy: While previous methods primarily rely on greedy search, which becomes increasingly inefficient for longer sequences, Seq2Sick employs group lasso regularization and projected gradient descent with gradient regularization. This allows for simultaneous searching of all replacement positions, leading to improved efficiency.

2. Targeted Attack Type: Existing methods focus on targeting specific classes or binary classifications, while Seq2Sick introduces a novel ""keyword"" target type, allowing attacks to be directed towards specific keywords within the generated sequence.","The LSTNet model has four main types of layers:

1. Convolutional layer: This layer extracts local dependency patterns from the input data. 
2. Recurrent and recurrent-skip layer: These layers capture long-term dependencies in the data. 
3. Fully connected and element-wise sum output layer: This layer combines the outputs from the convolutional and recurrent layers to produce the final prediction.
4. Autoregressive layer: This layer provides a linear bypass to the non-linear neural network part of the model. 

The convolutional layer receives the input data and passes its output to the recurrent and recurrent-skip layers. These layers then pass their output to the fully connected and element-wise sum output layer. The autoregressive layer receives the input data directly and its output is also fed into the fully connected and element-wise sum output layer.",resnet18
OverheatData/OverheatData\1708.03797v1\1708.03797v1-Figure1-1.png,583,237,The code layer is responsible for generating a compressed representation of the input data. This compressed representation is then used by the decoder to reconstruct the original data.,The quality of gradient estimation increases as the number of state-action pairs used in estimation increases.,resnet18
OverheatData/OverheatData\1704.07854v4\1704.07854v4-Figure15-1.png,218,111,The corrected gradient method leads to a more stable and lower loss value during training.,The RR optimization helps to reduce the number of messages that need to be exchanged between replicas.,resnet18
OverheatData/OverheatData\1704.08615v2\1704.08615v2-Figure6-1.png,231,12,The CC score increases as the number of fixations increases.,DMRNet,resnet18
OverheatData/OverheatData\1706.00633v4\1706.00633v4-Table3-1.png,393,14,RCE,Yes.,resnet18
OverheatData/OverheatData\1811.09393v4\1811.09393v4-Figure19-1.png,359,454,The user study is designed to test which of two images is closer to a reference video.,Action Search,resnet18
OverheatData/OverheatData\1809.03149v2\1809.03149v2-Figure2-1.png,597,453,The Higher Level Policy sets constraints for the next sub-trajectory and provides information about the previous stage to the Lower Level Policy.,"The three main components of the Action Search model architecture are the visual encoder, the LSTM, and the spotting target.",resnet18
OverheatData/OverheatData\1809.02731v3\1809.02731v3-Table1-1.png,593,277,"The UMBC News corpus has more sentences, by approximately 60.5 million.",Explicitly modeling meaning-preserving invariances leads to the generation of better paraphrases.,resnet18
